 ,Total_Area,RFP_PCT,YFP_PCT
1,7763,21,0
2,92234,0,90
3,74969,45,30
4,101310,100,0
5,658112,99,1
6,448346,100,0
7,11858,0,100
8,317565,100,0
9,121395,100,0
10,186128,0,100
11,9308,0,51
12,336877,0,100
13,58206,100,0
14,1625948,64,44
15,757838,0,100
16,1304134,0,99
17,302270,59,48
18,307330,0,100
19,146037,0,100
20,672789,100,0
21,1306181,100,0
22,229001,0,99
23,884718,98,2
24,222551,0,100
25,87367,100,0
26,95246,93,0
27,229542,100,0
28,11162,0,100
29,193042,100,0
31,7223,0,100
32,256887,100,0
33,171953,0,100
34,118228,100,0
35,171567,0,100
36,669815,0,100
37,591872,26,84
38,246188,0,100
39,42023,0,100
40,352095,0,100
41,51370,100,0
42,491759,0,99
43,387552,100,0
44,16377,0,100
45,40941,100,0
46,149474,0,100
47,499599,100,0
48,177631,100,0
49,89800,0,100
50,197484,0,100
51,603498,100,0
52,121240,0,97
53,164847,100,0
54,875834,100,0
55,1302628,0,99
56,426137,0,100
57,136922,0,100
58,491334,0,100
59,80762,0,100
60,517714,100,0
61,219229,0,100
62,220426,0,100
63,680127,0,100
64,515281,0,100
65,139046,100,0
66,407288,0,100
67,320810,0,97
68,11664,0,100
69,116,0,100
70,120584,0,100
71,61875,100,0
72,467271,100,0
73,155345,0,100
74,2302483,94,6
75,28891,100,0
76,782944,23,96
77,547416,40,66
78,33796,0,91
79,17265,100,0
80,7725,0,100
81,418991,100,0
82,37311,100,0
83,36113,0,100
84,319574,0,100
85,418721,100,0
86,700019,0,100
87,72497,0,100
88,36538,0,100
89,217182,0,98
90,78831,0,100
91,18346,0,83
92,226374,0,100
93,1538311,100,0
94,31324,100,0
95,522967,0,100
96,419069,0,100
97,22827,0,100
98,54151,100,0
99,1120,0,100
100,103937,0,100
101,57241,0,100
102,11201,100,0
103,542163,100,0
104,15179,100,0
105,32599,100,0
106,69407,100,0
107,2003110,57,41
108,156002,0,100
109,12862,0,100
110,788622,0,100
111,141054,0,100
112,149397,100,0
113,14638,0,100
114,502,100,0
115,10042,0,100
116,57279,0,98
117,17921,100,0
118,163340,47,47
119,4828,0,100
120,36345,0,94
121,530460,0,99